County DEM_PCT DEM_NUM GOP_PCT GOP_NUM Margin_PCT Margin_NUM 
Martin	97.07	4408	2.93	133	94.14	4275
Bertie	96.20	3142	3.80	124	92.41	3018
Greene	95.72	2528	4.28	113	91.44	2415
Northampton	95.28	3470	4.72	172	90.55	3298
Pitt	94.53	8556	5.47	495	89.06	8061
Hertford	94.11	1996	5.89	125	88.21	1871
Halifax	94.08	6989	5.92	440	88.15	6549
Edgecombe	93.79	6762	6.21	448	87.57	6314
Franklin	93.21	3967	6.79	289	86.42	3678
Hoke	91.76	1782	8.24	160	83.52	1622
Warren	91.11	2480	8.89	242	82.22	2238
Granville	90.82	3215	9.18	325	81.64	2890
Lenoir	90.46	5253	9.54	554	80.92	4699
Nash	89.64	7577	10.36	876	79.27	6701
Wilson	89.39	6480	10.61	769	78.78	5711
Chowan	88.78	1314	11.22	166	77.57	1148
Scotland	88.67	2372	11.33	303	77.35	2069
Vance	88.62	4110	11.38	528	77.23	3582
Gates	87.84	1105	12.16	153	75.68	952
Anson	87.54	3582	12.46	510	75.07	3072
Robeson	86.68	7278	13.32	1118	73.37	6160
Onslow	86.23	2711	13.77	433	72.46	2278
Craven	85.50	4872	14.50	826	71.01	4046
Jones	85.27	1221	14.73	211	70.53	1010
Richmond	85.19	5394	14.81	938	70.37	4456
Union	83.72	5729	16.28	1114	67.44	4615
Currituck	81.95	1049	18.05	231	63.91	818
Wake	81.87	18050	18.13	3996	63.75	14054
Lee	81.02	3448	18.98	808	62.03	2640
Beaufort	80.60	4706	19.40	1133	61.19	3573
Person	80.51	2507	19.49	607	61.01	1900
Pender	79.71	1732	20.29	441	59.41	1291
Caswell	79.63	1923	20.37	492	59.25	1431
Duplin	79.18	5464	20.82	1437	58.35	4027
Camden	78.91	722	21.09	193	57.81	529
Dare	78.86	966	21.14	259	57.71	707
Columbus	78.65	5717	21.35	1552	57.30	4165
Perquimans	78.30	960	21.70	266	56.61	694
Washington	78.19	1782	21.81	497	56.38	1285
Bladen	77.67	2542	22.33	731	55.33	1811
Durham	77.57	12763	22.43	3690	55.14	9073
New_Hanover	76.99	9467	23.01	2829	53.99	6638
Cumberland	76.66	6615	23.34	2014	53.32	4601
Wayne	76.49	6228	23.51	1914	52.98	4314
Cleveland	75.61	8170	24.39	2636	51.21	5534
Pasquotank	74.71	2540	25.29	860	49.41	1680
Rockingham	74.33	8755	25.67	3024	48.65	5731
Hyde	74.10	924	25.90	323	48.20	601
Mecklenburg	73.34	25950	26.66	9434	46.68	16516
Haywood	72.65	7755	27.35	2919	45.31	4836
Gaston	69.53	13744	30.47	6023	39.06	7721
Orange	69.06	3274	30.94	1467	38.11	1807
Carteret	69.02	3489	30.98	1566	38.04	1923
Buncombe	68.96	20878	31.04	9398	37.92	11480
Tyrrell	68.50	611	31.50	281	37.00	330
Cabarrus	68.17	9064	31.83	4233	36.33	4831
Harnett	67.34	6579	32.66	3191	34.68	3388
Johnston	65.19	8282	34.81	4423	30.37	3859
Alamance	64.86	9184	35.14	4976	29.72	4208
Guilford	64.45	23495	35.55	12962	28.89	10533
Pamlico	64.30	1295	35.70	719	28.60	576
McDowell	63.96	4008	36.04	2258	27.93	1750
Iredell	63.21	8358	36.79	4864	26.43	3494
Rowan	62.38	9721	37.62	5862	24.76	3859
Forsyth	62.07	16390	37.93	10014	24.15	6376
Chatham	61.33	3856	38.67	2431	22.67	1425
Rutherford	61.10	7379	38.90	4698	22.20	2681
Jackson	60.40	4109	39.60	2694	20.80	1415
Surry	60.02	7679	39.98	5116	20.03	2563
Catawba	58.45	10146	41.55	7211	16.91	2935
Swain	58.37	2110	41.63	1505	16.74	605
Polk	58.24	2340	41.76	1678	16.48	662
Moore	58.22	3711	41.78	2663	16.44	1048
Graham	58.21	1889	41.79	1356	16.43	533
Yancey	57.88	3301	42.12	2402	15.76	899
Montgomery	57.58	2665	42.42	1963	15.17	702
Transylvania	57.29	3019	42.71	2251	14.57	768
Caldwell	55.39	5419	44.61	4365	10.77	1054
Henderson	55.18	5679	44.82	4613	10.36	1066
Stokes	54.90	4110	45.10	3376	9.80	734
Alleghany	54.77	1810	45.23	1495	9.53	315
Brunswick	54.02	2346	45.98	1997	8.04	349
Burke	53.72	6795	46.28	5855	7.43	940
Macon	53.22	2855	46.78	2510	6.43	345
Lincoln	53.12	4168	46.88	3678	6.25	490
Davidson	50.03	9455	49.97	9445	0.05	10
Clay	49.64	1245	50.36	1263	-0.72	-18
Cherokee	49.59	2582	50.41	2625	-0.83	-43
Ashe	49.09	4363	50.91	4524	-1.81	-161
Stanly	47.48	5499	52.52	6083	-5.04	-584
Randolph	45.61	7277	54.39	8678	-8.78	-1401
Watauga	44.84	3214	55.16	3954	-10.32	-740
Alexander	43.44	2282	56.56	2971	-13.12	-689
Davie	41.13	2266	58.87	3244	-17.75	-978
Sampson	41.04	4220	58.96	6062	-17.91	-1842
Wilkes	37.99	5587	62.01	9121	-24.03	-3534
Yadkin	36.00	2470	64.00	4392	-28.01	-1922
Madison	34.30	2291	65.70	4388	-31.40	-2097
Mitchell	24.29	1024	75.71	3192	-51.42	-2168
Avery	20.87	838	79.13	3178	-58.27	-2340
