County GOP_PCT GOP_NUM DEM_PCT DEM_NUM LIB_PCT LIB_NUM OTH_PCT OTH_NUM Margin_PCT Margin_NUM 
Yadkin	77.16	11816	22.54	3451	0.27	42	0.03	4	54.63	8365
Avery	75.47	5678	23.99	1805	0.39	29	0.16	12	51.48	3873
Davie	74.17	12372	25.38	4233	0.40	66	0.05	9	48.79	8139
Randolph	74.19	37771	25.47	12966	0.33	170	0.01	3	48.72	24805
Mitchell	72.92	5686	26.67	2080	0.40	31	0.01	1	46.24	3606
Davidson	70.72	42075	28.89	17191	0.34	203	0.05	27	41.82	24884
Wilkes	70.70	19197	28.95	7862	0.30	82	0.05	13	41.74	11335
Union	70.20	42820	29.47	17974	0.28	169	0.06	38	40.73	24846
Alexander	70.05	10928	29.60	4618	0.33	52	0.01	2	40.45	6310
Stokes	69.96	13583	29.71	5767	0.29	56	0.04	8	40.26	7816
Stanly	69.71	17814	29.94	7650	0.34	86	0.01	3	39.78	10164
Onslow	69.45	25890	30.18	11250	0.33	122	0.04	15	39.27	14640
Carteret	69.27	17716	30.23	7732	0.39	100	0.11	27	39.04	9984
Iredell	67.88	38675	31.71	18065	0.26	148	0.15	85	36.18	20610
Johnston	67.89	36903	31.76	17266	0.23	123	0.12	65	36.13	19637
Gaston	67.84	43252	31.77	20254	0.33	208	0.06	41	36.07	22998
Lincoln	67.79	20052	31.89	9434	0.30	88	0.02	5	35.90	10618
Surry	67.66	17587	31.95	8304	0.39	101	0.00	0	35.71	9283
Caldwell	67.58	21186	31.90	9999	0.35	111	0.17	52	35.69	11187
Graham	67.54	2693	31.90	1272	0.53	21	0.03	1	35.64	1421
Catawba	67.48	39602	32.13	18858	0.31	182	0.08	46	35.35	20744
Rowan	67.32	34915	32.27	16735	0.36	187	0.06	30	35.05	18180
Cherokee	67.12	7517	32.46	3635	0.37	41	0.05	6	34.66	3882
Currituck	66.99	6013	32.41	2909	0.59	53	0.01	1	34.58	3104
Cabarrus	67.05	40780	32.56	19803	0.37	224	0.03	17	34.49	20977
Rutherford	66.28	16343	33.19	8184	0.51	126	0.02	5	33.09	8159
McDowell	66.18	10590	33.31	5330	0.40	64	0.11	18	32.87	5260
Clay	65.95	3209	33.46	1628	0.51	25	0.08	4	32.49	1581
Henderson	64.82	28025	34.70	15003	0.40	172	0.08	34	30.12	13022
Camden	64.75	2480	34.96	1339	0.18	7	0.10	4	29.79	1141
Moore	64.39	24714	35.32	13555	0.26	98	0.04	15	29.07	11159
Harnett	64.24	20922	35.50	11563	0.24	79	0.02	7	28.73	9359
Beaufort	63.68	12432	35.99	7025	0.30	58	0.04	7	27.70	5407
Macon	62.89	9448	36.53	5489	0.43	65	0.15	22	26.35	3959
Craven	62.44	23575	37.13	14019	0.36	136	0.07	26	25.31	9556
Wayne	62.14	24883	37.65	15076	0.18	71	0.04	16	24.49	9807
Ashe	61.68	7292	37.87	4477	0.46	54	0.00	0	23.81	2815
Burke	61.51	18922	38.12	11728	0.36	110	0.01	2	23.39	7194
Alamance	61.47	33302	38.18	20686	0.29	157	0.06	30	23.29	12616
Cleveland	61.36	22750	38.34	14215	0.25	93	0.06	21	23.02	8535
Rockingham	61.09	22840	38.60	14430	0.24	89	0.08	29	22.49	8410
Pamlico	60.93	3679	38.67	2335	0.33	20	0.07	4	22.26	1344
Lee	60.55	11834	39.18	7657	0.27	52	0.00	0	21.37	4177
Brunswick	60.37	22925	39.24	14903	0.34	130	0.05	19	21.12	8022
Transylvania	60.21	9386	39.11	6097	0.58	90	0.10	15	21.10	3289
Dare	60.10	9345	39.46	6136	0.40	62	0.03	5	20.64	3209
Perquimans	59.80	2965	39.75	1971	0.40	20	0.04	2	20.05	994
Alleghany	59.73	2883	39.82	1922	0.37	18	0.08	4	19.91	961
Person	58.98	8973	40.74	6198	0.27	41	0.01	2	18.24	2775
Pender	58.75	10037	40.97	6999	0.26	45	0.02	4	17.78	3038
Greene	58.71	3800	41.18	2665	0.11	7	0.00	0	17.54	1135
Nash	58.14	21902	41.66	15693	0.18	66	0.03	12	16.48	6209
Duplin	57.96	9611	41.75	6923	0.25	41	0.05	8	16.21	2688
Jones	57.77	2607	41.95	1893	0.27	12	0.02	1	15.82	714
Polk	56.98	5140	41.98	3787	0.99	89	0.06	5	15.00	1353
Montgomery	56.99	5745	42.79	4313	0.19	19	0.03	3	14.21	1432
Sampson	56.53	12600	43.29	9649	0.17	38	0.00	1	13.24	2951
Haywood	56.09	14545	43.33	11237	0.44	113	0.14	37	12.76	3308
New_Hanover	55.82	45351	43.78	35572	0.37	302	0.03	22	12.04	9779
Lenoir	55.82	12939	44.04	10207	0.13	31	0.01	2	11.79	2732
Franklin	55.17	11540	44.39	9286	0.34	72	0.10	20	10.78	2254
Chowan	55.09	2967	44.67	2406	0.24	13	0.00	0	10.42	561
Madison	54.69	5175	44.74	4234	0.56	53	0.01	1	9.94	941
Forsyth	54.12	75294	45.53	63340	0.35	491	0.00	0	8.59	11954
Hyde	53.86	1235	45.70	1048	0.39	9	0.04	1	8.16	187
Tyrrell	53.77	855	45.97	731	0.25	4	0.00	0	7.80	124
Pitt	53.30	28590	46.46	24924	0.20	108	0.04	21	6.83	3666
Wilson	53.26	16264	46.52	14206	0.20	60	0.02	5	6.74	2058
Watauga	52.64	12659	46.70	11232	0.56	135	0.10	24	5.93	1427
Yancey	52.38	4940	47.02	4434	0.36	34	0.24	23	5.37	506
Jackson	51.86	7351	47.53	6737	0.54	76	0.07	10	4.33	614
Cumberland	51.60	49139	48.08	45788	0.26	247	0.05	52	3.52	3351
Caswell	51.58	4868	48.10	4539	0.23	22	0.08	8	3.49	329
Swain	51.47	2593	48.02	2419	0.50	25	0.02	1	3.45	174
Granville	51.02	9491	48.69	9057	0.24	44	0.05	9	2.33	434
Martin	51.03	5334	48.81	5102	0.13	14	0.02	2	2.22	232
Wake	50.83	177324	48.71	169909	0.39	1353	0.07	258	2.13	7415
Columbus	50.84	10773	48.81	10343	0.30	63	0.06	12	2.03	430
Buncombe	49.99	52491	49.39	51868	0.48	501	0.15	153	0.59	623
Bladen	50.14	6174	49.61	6109	0.24	29	0.01	1	0.53	65
Chatham	49.73	12892	49.75	12897	0.44	115	0.07	18	-0.02	-5
Guilford	49.30	98254	50.19	100042	0.42	836	0.09	182	-0.90	-1788
Hoke	48.66	5527	51.01	5794	0.27	31	0.05	6	-2.35	-267
Pasquotank	48.42	6609	51.17	6984	0.40	54	0.01	1	-2.75	-375
Mecklenburg	48.00	155084	51.63	166828	0.31	988	0.06	202	-3.63	-11744
Richmond	47.75	7709	51.92	8383	0.19	30	0.14	23	-4.17	-674
Gates	47.47	1924	52.33	2121	0.17	7	0.02	1	-4.86	-197
Robeson	46.97	15909	52.75	17868	0.21	72	0.06	22	-5.78	-1959
Washington	45.40	2484	54.27	2969	0.22	12	0.11	6	-8.86	-485
Scotland	44.52	5141	55.30	6386	0.16	18	0.02	2	-10.78	-1245
Vance	43.91	6884	55.89	8762	0.20	31	0.00	0	-11.98	-1878
Halifax	41.17	8088	58.68	11528	0.13	26	0.03	5	-17.51	-3440
Anson	41.15	3796	58.68	5413	0.16	15	0.01	1	-17.53	-1617
Bertie	38.06	3057	61.48	4938	0.44	35	0.02	2	-23.42	-1881
Edgecombe	38.73	8163	61.09	12877	0.17	36	0.01	3	-22.36	-4714
Hertford	36.18	2942	63.22	5141	0.52	42	0.09	7	-27.04	-2199
Northampton	36.21	3176	63.67	5584	0.08	7	0.03	3	-27.46	-2408
Warren	35.38	2840	64.42	5171	0.11	9	0.09	7	-29.04	-2331
Orange	32.38	20771	66.89	42910	0.53	338	0.21	134	-34.51	-22139
Durham	31.57	34614	67.96	74524	0.35	381	0.12	132	-36.40	-39910
