County DEM_PCT DEM_NUM GOP_PCT GOP_NUM Margin_PCT Margin_NUM 
Martin	97.58	4477	2.42	111	95.16	4366
Northampton	97.20	3785	2.80	109	94.40	3676
Bertie	97.08	3828	2.92	115	94.17	3713
Pitt	96.71	9539	3.29	325	93.41	9214
Hertford	96.52	2327	3.48	84	93.03	2243
Halifax	96.39	8230	3.61	308	92.79	7922
Greene	96.39	3097	3.61	116	92.78	2981
Edgecombe	96.17	6684	3.83	266	92.35	6418
Granville	95.86	4279	4.14	185	91.71	4094
Franklin	95.75	5209	4.25	231	91.51	4978
Warren	95.61	3047	4.39	140	91.21	2907
Nash	94.38	8682	5.62	517	88.76	8165
Lenoir	94.34	5854	5.66	351	88.69	5503
Chowan	94.17	1550	5.83	96	88.34	1454
Vance	93.51	4536	6.49	315	87.01	4221
Robeson	93.35	10280	6.65	732	86.71	9548
Hoke	93.27	1953	6.73	141	86.53	1812
Wilson	93.20	7522	6.80	549	86.40	6973
Currituck	92.70	1625	7.30	128	85.40	1497
Union	92.56	7480	7.44	601	85.13	6879
Craven	92.44	5543	7.56	453	84.89	5090
Anson	92.40	4629	7.60	381	84.79	4248
Caswell	92.33	2493	7.67	207	84.67	2286
Onslow	92.15	2758	7.85	235	84.30	2523
Gates	92.06	1484	7.94	128	84.12	1356
Richmond	91.70	6709	8.30	607	83.41	6102
Scotland	91.02	3183	8.98	314	82.04	2869
Pasquotank	90.87	3226	9.13	324	81.75	2902
Camden	89.60	1008	10.40	117	79.20	891
Jones	89.26	1563	10.74	188	78.53	1375
Wake	88.99	19850	11.01	2456	77.98	17394
Person	88.30	2898	11.70	384	76.60	2514
Pender	87.72	2379	12.28	333	75.44	2046
Beaufort	86.42	6133	13.58	964	72.83	5169
Cumberland	86.40	6505	13.60	1024	72.80	5481
Bladen	85.91	3360	14.09	551	71.82	2809
Perquimans	85.76	970	14.24	161	71.53	809
Durham	85.40	12804	14.60	2189	70.80	10615
New_Hanover	84.96	7376	15.04	1306	69.91	6070
Mecklenburg	84.75	26169	15.25	4709	69.50	21460
Lee	84.75	3723	15.25	670	69.50	3053
Cleveland	84.34	11393	15.66	2116	68.67	9277
Columbus	83.97	6359	16.03	1214	67.94	5145
Rockingham	81.84	11366	18.16	2522	63.68	8844
Cabarrus	81.32	12297	18.68	2825	62.64	9472
Wayne	80.19	7087	19.81	1751	60.38	5336
Duplin	79.42	5966	20.58	1546	58.84	4420
Hyde	79.30	1157	20.70	302	58.60	855
Gaston	78.63	17555	21.37	4772	57.25	12783
Forsyth	78.09	18734	21.91	5256	56.18	13478
Harnett	77.98	8018	22.02	2264	55.96	5754
Washington	77.80	1875	22.20	535	55.60	1340
Tyrrell	77.53	1049	22.47	304	55.06	745
Rowan	74.84	12808	25.16	4306	49.68	8502
Iredell	74.76	11308	25.24	3817	49.53	7491
Alamance	74.13	11025	25.87	3847	48.27	7178
Guilford	72.89	25579	27.11	9514	45.78	16065
Orange	72.75	3860	27.25	1446	45.50	2414
Johnston	72.17	11253	27.83	4339	44.34	6914
Dare	71.93	1389	28.07	542	43.86	847
Buncombe	71.40	23646	28.60	9470	42.81	14176
Haywood	71.05	8175	28.95	3331	42.10	4844
Rutherford	67.23	9911	32.77	4830	34.47	5081
Chatham	66.71	4373	33.29	2182	33.42	2191
Carteret	66.68	3780	33.32	1889	33.36	1891
Caldwell	66.56	6809	33.44	3421	33.12	3388
Pamlico	65.42	1627	34.58	860	30.84	767
Surry	64.95	8833	35.05	4766	29.91	4067
Moore	64.29	4466	35.71	2481	28.57	1985
Catawba	63.30	11017	36.70	6387	26.60	4630
McDowell	63.22	5352	36.78	3114	26.44	2238
Brunswick	62.51	2710	37.49	1625	25.03	1085
Lincoln	61.17	5515	38.83	3501	22.34	2014
Alleghany	61.02	2345	38.98	1498	22.04	847
Jackson	59.94	4580	40.06	3061	19.88	1519
Stanly	58.99	6505	41.01	4523	17.97	1982
Transylvania	58.71	2845	41.29	2001	17.42	844
Davidson	58.62	10844	41.38	7656	17.23	3188
Polk	58.42	2521	41.58	1794	16.85	727
Montgomery	58.16	3484	41.84	2506	16.33	978
Burke	57.52	7454	42.48	5506	15.03	1948
Stokes	57.36	4384	42.64	3259	14.72	1125
Yancey	57.24	3603	42.76	2691	14.49	912
Alexander	57.10	3262	42.90	2451	14.20	811
Macon	56.45	3311	43.55	2554	12.91	757
Swain	55.69	2619	44.31	2084	11.38	535
Ashe	54.92	5552	45.08	4557	9.84	995
Sampson	54.54	5937	45.46	4948	9.09	989
Randolph	53.87	8090	46.13	6927	7.74	1163
Watauga	53.23	3880	46.77	3409	6.46	471
Henderson	52.99	5747	47.01	5099	5.97	648
Graham	52.64	1473	47.36	1325	5.29	148
Cherokee	51.94	3473	48.06	3214	3.87	259
Davie	49.74	2476	50.26	2502	-0.52	-26
Clay	46.77	1340	53.23	1525	-6.46	-185
Wilkes	43.77	6506	56.23	8358	-12.46	-1852
Yadkin	43.31	3209	56.69	4200	-13.38	-991
Madison	38.06	3133	61.94	5099	-23.88	-1966
Mitchell	33.29	1687	66.71	3380	-33.41	-1693
Avery	22.02	839	77.98	2971	-55.96	-2132
