County DEM_PCT DEM_NUM GOP_PCT GOP_NUM PRO_PCT PRO_NUM POP_PCT POP_NUM Margin_PCT Margin_NUM 
New_Hanover	97.40	2247	2.60	60	0.00	0	0.00	0	94.80	2187
Scotland	95.26	925	4.53	44	0.21	2	0.00	0	90.73	881
Robeson	74.14	3280	25.86	1144	0.00	0	0.00	0	48.28	2136
Anson	73.24	1856	26.56	673	0.00	0	0.20	5	46.69	1183
Richmond	71.29	1264	28.43	504	0.28	5	0.00	0	42.87	760
Wilson	70.19	2816	29.76	1194	0.05	2	0.00	0	40.43	1622
Bertie	69.40	2420	30.60	1067	0.00	0	0.00	0	38.80	1353
Onslow	68.14	1322	31.86	618	0.00	0	0.00	0	36.29	704
Currituck	68.06	927	31.94	435	0.00	0	0.00	0	36.12	492
Pender	67.40	1137	32.19	543	0.30	5	0.12	2	35.21	594
Union	66.89	1790	32.29	864	0.00	0	0.82	22	34.60	926
Gates	66.61	1125	33.39	564	0.00	0	0.00	0	33.21	561
Nash	66.04	2600	33.96	1337	0.00	0	0.00	0	32.08	1263
Edgecombe	64.78	3009	35.20	1635	0.02	1	0.00	0	29.58	1374
Halifax	64.73	3990	35.27	2174	0.00	0	0.00	0	29.46	1816
Hertford	64.62	1337	35.38	732	0.00	0	0.00	0	29.24	605
Duplin	63.05	1879	36.28	1081	0.00	0	0.67	20	26.78	798
Franklin	62.45	2781	35.98	1602	0.29	13	1.28	57	26.48	1179
Cleveland	62.25	2228	36.63	1311	0.59	21	0.53	19	25.62	917
Greene	62.61	1385	37.07	820	0.00	0	0.32	7	25.54	565
Mecklenburg	62.09	3786	36.63	2234	0.77	47	0.51	31	25.45	1552
Martin	62.57	1819	37.43	1088	0.00	0	0.00	0	25.15	731
Stanly	61.50	1265	38.50	792	0.00	0	0.00	0	22.99	473
Lenoir	61.34	1942	38.66	1224	0.00	0	0.00	0	22.68	718
Johnston	61.03	3154	38.64	1997	0.02	1	0.31	16	22.39	1157
Wayne	60.79	3104	38.48	1965	0.72	37	0.00	0	22.31	1139
Rowan	57.34	2460	36.25	1555	6.06	260	0.35	15	21.10	905
Pitt	59.82	3264	39.52	2156	0.27	15	0.38	21	20.31	1108
Granville	58.80	2288	40.79	1587	0.05	2	0.36	14	18.02	701
Vance	56.98	1233	40.71	881	0.09	2	2.22	48	16.27	352
Haywood	57.62	1735	41.75	1257	0.43	13	0.20	6	15.88	478
Carteret	57.57	1046	42.21	767	0.00	0	0.22	4	15.35	279
Craven	57.45	2028	42.55	1502	0.00	0	0.00	0	14.90	526
