County DEM_PCT DEM_NUM GOP_PCT GOP_NUM AIP_PCT AIP_NUM LIB_PCT LIB_NUM OTH_PCT OTH_NUM Margin_PCT Margin_NUM 
Alamance	57.43	17371	41.92	12680	0.46	138	0.13	38	0.07	20	15.51	4691
Surry	57.31	10024	42.33	7403	0.26	46	0.09	15	0.01	2	14.99	2621
Swain	57.04	2151	42.64	1608	0.19	7	0.08	3	0.05	2	14.40	543
Onslow	56.90	7954	42.59	5953	0.27	38	0.12	17	0.11	16	14.32	2001
Person	56.52	3977	43.17	3038	0.21	15	0.01	1	0.09	6	13.34	939
Dare	56.31	2191	43.18	1680	0.31	12	0.15	6	0.05	2	13.13	511
Craven	55.75	7553	43.41	5881	0.52	70	0.21	28	0.12	16	12.34	1672
Sampson	55.77	8869	43.82	6968	0.18	28	0.14	23	0.09	14	11.95	1901
Beaufort	54.72	5728	44.68	4677	0.44	46	0.11	11	0.05	5	10.04	1051
Carteret	54.72	7080	44.72	5786	0.42	54	0.13	17	0.02	2	10.00	1294
Pitt	54.61	11636	44.73	9532	0.31	66	0.18	39	0.17	36	9.87	2104
Johnston	54.56	10301	45.08	8511	0.23	44	0.09	17	0.04	8	9.48	1790
Polk	54.28	3155	44.82	2605	0.83	48	0.07	4	0.00	0	9.46	550
Wilson	54.41	8209	45.04	6795	0.41	62	0.08	12	0.06	9	9.37	1414
Caldwell	54.37	11894	45.13	9872	0.24	52	0.15	33	0.11	24	9.24	2022
Macon	54.22	4403	45.23	3673	0.31	25	0.12	10	0.11	9	8.99	730
Buncombe	53.88	26633	45.44	22461	0.36	177	0.17	84	0.15	73	8.44	4172
Durham	53.93	22425	45.56	18945	0.22	90	0.14	58	0.16	66	8.37	3480
Gaston	53.48	22878	46.12	19727	0.21	90	0.12	51	0.07	30	7.37	3151
Iredell	52.88	13295	46.03	11573	0.87	218	0.10	25	0.12	31	6.85	1722
Alexander	53.00	5287	46.73	4661	0.20	20	0.06	6	0.01	1	6.28	626
Transylvania	52.71	4636	46.49	4089	0.53	47	0.17	15	0.09	8	6.22	547
Cherokee	52.14	3571	46.87	3210	0.88	60	0.06	4	0.06	4	5.27	361
Graham	52.31	1791	47.34	1621	0.23	8	0.03	1	0.09	3	4.96	170
Stokes	52.29	6647	47.43	6029	0.23	29	0.01	1	0.04	5	4.86	618
Clay	52.09	1569	47.41	1428	0.46	14	0.03	1	0.00	0	4.68	141
New_Hanover	50.89	14504	48.02	13687	0.73	208	0.20	58	0.16	45	2.87	817
Nash	50.73	8937	48.12	8477	1.00	176	0.11	19	0.04	7	2.61	460
Ashe	51.14	5193	48.62	4937	0.19	19	0.01	1	0.05	5	2.52	256
Rowan	50.79	15363	48.41	14644	0.60	183	0.08	25	0.11	33	2.38	719
Stanly	50.92	9262	48.63	8845	0.34	61	0.07	12	0.05	10	2.29	417
Guilford	50.44	46826	48.94	45441	0.30	274	0.17	157	0.16	146	1.49	1385
Mecklenburg	50.34	63198	49.16	61715	0.17	211	0.17	210	0.17	215	1.18	1483
Forsyth	50.13	39561	49.27	38886	0.27	211	0.15	121	0.18	145	0.86	675
Wake	49.47	44005	49.80	44291	0.20	182	0.31	280	0.21	188	-0.32	-286
Watauga	49.46	5358	49.85	5400	0.35	38	0.16	17	0.18	20	-0.39	-42
Lenoir	49.41	7650	49.83	7715	0.56	87	0.12	19	0.08	13	-0.42	-65
Moore	49.06	7373	50.41	7577	0.28	42	0.16	24	0.09	14	-1.36	-204
Cabarrus	48.89	12049	50.54	12455	0.34	85	0.13	31	0.10	24	-1.65	-406
Wayne	48.76	9265	50.56	9607	0.54	103	0.05	9	0.09	17	-1.80	-342
Davidson	48.45	17859	51.03	18813	0.36	132	0.12	43	0.04	16	-2.59	-954
Catawba	47.21	16862	52.34	18696	0.28	101	0.10	36	0.06	23	-5.13	-1834
Randolph	46.72	12714	52.69	14337	0.39	107	0.12	34	0.07	20	-5.96	-1623
Wilkes	46.19	10176	53.41	11768	0.25	55	0.06	14	0.09	19	-7.23	-1592
Davie	42.95	3635	56.39	4772	0.52	44	0.08	7	0.06	5	-13.43	-1137
Yadkin	42.95	4497	56.50	5916	0.46	48	0.05	5	0.05	5	-13.55	-1419
Henderson	42.57	8155	56.54	10830	0.66	127	0.14	27	0.09	17	-13.96	-2675
Avery	37.42	1869	61.76	3085	0.50	25	0.10	5	0.22	11	-24.34	-1216
Mitchell	35.13	2031	64.49	3728	0.24	14	0.05	3	0.09	5	-29.35	-1697
