Alabama	11	25561	24.31	-	74391	70.75	11	1450	1.38	-	690	0.66	-	497	0.47	-	1576	1.50	-	-	-	-	-48830	-46.44	105152	AL
Arkansas	9	56624	37.30	-	87015	57.31	9	5842	3.85	-	1026	0.68	-	289	0.19	-	1026	0.68	-	-	-	-	-30391	-20.02	151822	AR
California	10	214398	55.46	10	127492	32.98	-	28659	7.41	-	11770	3.04	-	4278	1.11	-	-	-	-	-	-	-	86906	22.48	386597	CA
Colorado	5	123693	46.88	-	126644	48.00	5	7960	3.02	-	5559	2.11	-	-	-	-	-	-	-	-	-	-	-2951	-1.12	263858	CO
Connecticut	7	112915	59.43	7	68255	35.92	-	5113	2.69	-	2380	1.25	-	728	0.38	-	-	-	-	608	0.32	-	44660	23.50	190003	CT
Delaware	3	25014	52.10	3	22055	45.94	-	239	0.50	-	670	1.40	-	29	0.06	-	-	-	-	-	-	-	2959	6.16	48007	DE
Florida	5	10654	21.58	-	31104	63.01	5	3747	7.59	-	1356	2.75	-	553	1.12	-	1946	3.94	-	-	-	-	-20450	-41.43	49360	FL
Georgia	13	41355	31.21	-	72350	54.60	13	584	0.44	-	1452	1.10	-	76	0.06	-	16687	12.59	-	-	-	-	-30995	-23.39	132504	GA
Idaho	3	52621	54.09	3	36162	37.17	-	6400	6.58	-	1986	2.04	-	124	0.13	-	-	-	-	-	-	-	16459	16.92	97293	ID
Illinois	27	629932	54.53	27	450810	39.02	-	34711	3.00	-	29364	2.54	-	7724	0.67	-	633	0.05	-	1680	0.15	-	179122	15.50	1155254	IL
Indiana	15	348993	48.40	15	338262	46.91	-	13476	1.87	-	18045	2.50	-	514	0.07	-	1193	0.17	-	643	0.09	-	10731	1.49	721126	IN
Iowa	13	275209	55.62	13	200771	40.58	-	8287	1.67	-	9837	1.99	-	404	0.08	-	261	0.05	-	-	-	-	74438	15.05	494769	IA
Kansas	10	197216	52.46	10	161209	42.88	-	12420	3.30	-	5033	1.34	-	68	0.02	-	-	-	-	-	-	-	36007	9.58	375946	KS
Kentucky	13	235711	48.03	-	244092	49.74	13	4093	0.83	-	5885	1.20	-	200	0.04	-	333	0.07	-	405	0.08	-	-8381	-1.71	490719	KY
Louisiana	9	8958	11.93	-	63568	84.63	9	2514	3.35	-	-	-	-	77	0.10	-	-	-	-	-	-	-	-54610	-72.70	75117	LA
Maine	6	66987	63.00	6	35403	33.29	-	1758	1.65	-	1487	1.40	-	700	0.66	-	1	0.00	-	-	-	-	31584	29.70	106336	ME
Maryland	8	116513	48.85	2	115908	48.59	6	2323	0.97	-	3302	1.38	-	485	0.20	-	-	-	-	-	-	-	605	0.25	238531	MD
Massachusetts	16	265966	58.21	16	155543	34.04	-	10779	2.36	-	4374	0.96	-	19237	4.21	-	-	-	-	1011	0.22	-	110423	24.17	456919	MA
Michigan	14	335580	61.93	14	175771	32.44	-	11586	2.14	-	16974	3.13	-	760	0.14	-	-	-	-	1096	0.20	-	159809	29.49	541830	MI
Minnesota	11	195843	59.11	11	109401	33.02	-	14527	4.38	-	11107	3.35	-	426	0.13	-	-	-	-	-	-	-	86442	26.09	331304	MN
Mississippi	10	4363	6.52	-	60287	90.11	10	978	1.46	-	-	-	-	-	-	-	1276	1.91	-	-	-	-	-55924	-83.59	66904	MS
Missouri	18	347203	48.50	18	346574	48.41	-	15431	2.16	-	4284	0.60	-	402	0.06	-	1165	0.16	-	868	0.12	-	629	0.09	715927	MO
