Alabama	11	198918	81.28	11	44540	18.20	-	-	-	-	190	0.08	-	1095	0.45	-	154378	63.08	244743	AL
Arizona	4	80926	58.80	4	56287	40.90	-	-	-	-	-	-	-	421	0.31	-	24639	17.90	137634	AZ
Arkansas	9	148965	69.95	9	63551	29.84	-	-	-	-	438	0.21	-	-	-	-	85414	40.11	212954	AR
California	25	1988564	56.48	25	1512965	42.97	-	-	-	-	2515	0.07	-	16831	0.48	-	475599	13.51	3520875	CA
Colorado	6	234331	46.40	-	268731	53.21	6	-	-	-	1977	0.39	-	-	-	-	-34400	-6.81	505039	CO
Connecticut	8	435146	52.30	8	390527	46.94	-	-	-	-	5097	0.61	-	1220	0.15	-	44619	5.36	831990	CT
Delaware	3	68166	54.38	3	56747	45.27	-	-	-	-	154	0.12	-	294	0.23	-	11419	9.11	125361	DE
Florida	8	339377	70.32	8	143215	29.68	-	-	-	-	-	-	-	-	-	-	196162	40.65	482592	FL
Georgia	12	268187	81.74	12	59880	18.25	-	-	-	-	6	0.00	-	36	0.01	-	208307	63.49	328109	GA
Idaho	4	107399	51.55	4	100137	48.07	-	-	-	-	282	0.14	-	503	0.24	-	7262	3.49	208321	ID
Illinois	28	2079479	51.52	28	1939314	48.05	-	-	-	-	180	0.00	-	17088	0.42	-	140165	3.47	4036061	IL
Indiana	13	781403	46.73	-	875891	52.38	13	-	-	-	2223	0.13	-	12574	0.75	-	-94488	-5.65	1672091	IN
Iowa	10	499876	47.49	-	547267	51.99	10	-	-	-	1511	0.14	-	3945	0.37	-	-47391	-4.50	1052599	IA
Kansas	8	287458	39.18	-	442096	60.25	8	-	-	-	1613	0.22	-	2609	0.36	-	-154638	-21.07	733776	KS
Kentucky	11	472589	54.45	11	392448	45.22	-	-	-	-	535	0.06	-	2349	0.27	-	80141	9.23	867921	KY
Louisiana	10	281564	80.59	10	67750	19.39	-	-	-	-	-	-	-	69	0.02	-	213814	61.20	349383	LA
Maine	5	140631	47.45	-	155434	52.44	5	-	-	-	-	-	-	335	0.11	-	-14803	-4.99	296400	ME
Maryland	8	315490	51.85	8	292949	48.15	-	-	-	-	-	-	-	-	-	-	22541	3.70	608439	MD
Massachusetts	16	1035296	52.80	16	921350	46.99	-	-	-	-	-	-	-	4019	0.21	-	113946	5.81	1960665	MA
Michigan	19	1106899	50.19	19	1084423	49.18	-	-	-	-	4598	0.21	-	9303	0.42	-	22476	1.02	2205223	MI
Minnesota	11	589864	52.41	11	527416	46.86	-	-	-	-	5073	0.45	-	3176	0.28	-	62448	5.55	1125529	MN
Mississippi	9	168479	93.56	9	11601	6.44	-	-	-	-	-	-	-	-	-	-	156878	87.12	180080	MS
Missouri	15	807804	51.37	15	761524	48.43	-	-	-	-	1751	0.11	-	1395	0.09	-	46280	2.94	1572474	MO
Montana	4	112556	54.28	4	93163	44.93	-	-	-	-	1296	0.63	-	340	0.16	-	19393	9.35	207355	MT
Nebraska	6	233246	41.42	-	329880	58.58	6	-	-	-	-	-	-	-	-	-	-96634	-17.16	563126	NE
Nevada	3	29623	54.62	3	24611	45.38	-	-	-	-	-	-	-	-	-	-	5012	9.24	54234	NV
New_Hampshire	4	119663	52.11	4	109916	47.87	-	-	-	-	46	0.02	-	-	-	-	9747	4.24	229625	NH
New_Jersey	16	987874	50.31	16	961335	48.95	-	-	-	-	3358	0.17	-	11194	0.57	-	26539	1.35	1963761	NJ
New_Mexico	4	81389	53.47	4	70688	46.44	-	-	-	-	-	-	-	148	0.10	-	10701	7.03	152225	NM
New_York	47	3304238	52.31	47	2987647	47.30	-	-	-	-	10553	0.17	-	14352	0.23	-	316591	5.01	6316790	NY
North_Carolina	14	527399	66.71	14	263155	33.29	-	-	-	-	-	-	-	-	-	-	264244	33.43	790554	NC
North_Dakota	4	100144	45.48	-	118535	53.84	4	-	-	-	943	0.43	-	549	0.25	-	-18391	-8.35	220171	ND
Ohio	25	1570763	49.82	-	1582293	50.18	25	-	-	-	-	-	-	-	-	-	-11530	-0.37	3153056	OH
Oklahoma	10	401549	55.57	10	319424	44.20	-	-	-	-	-	-	-	1663	0.23	-	82125	11.36	722636	OK
