Alabama	11	238136	86.38	11	35358	12.82	-	551	0.20	-	242	0.09	-	1397	0.51	-	202838	73.56	275244	AL
Arizona	3	86722	69.85	3	33433	26.93	-	3307	2.66	-	317	0.26	-	384	0.31	-	53289	42.92	124163	AZ
Arkansas	9	146765	81.80	9	32039	17.86	-	4	0.00	-	446	0.25	-	169	0.09	-	114726	63.94	179423	AR
California	22	1766836	66.95	22	836431	31.70	-	-	-	-	11331	0.43	-	24284	0.92	-	930405	35.26	2638882	CA
Colorado	6	295021	60.37	6	181267	37.09	-	9962	2.04	-	1593	0.33	-	841	0.17	-	113754	23.28	488684	CO
Connecticut	8	382129	55.32	8	278685	40.35	-	21805	3.16	-	5683	0.82	-	2421	0.35	-	103444	14.98	690723	CT
Delaware	3	69702	54.62	3	57236	44.85	-	442	0.35	-	172	0.13	-	51	0.04	-	12466	9.77	127603	DE
Florida	7	249117	76.10	7	78248	23.90	-	-	-	-	-	-	-	-	-	-	170869	52.20	327365	FL
Georgia	12	255364	87.10	12	36942	12.60	-	141	0.05	-	68	0.02	-	660	0.23	-	218422	74.50	293175	GA
Idaho	4	125683	62.96	4	66256	33.19	-	7678	3.85	-	-	-	-	-	-	-	59427	29.77	199617	ID
Illinois	29	2282999	57.70	29	1570393	39.69	-	89439	2.26	-	7530	0.19	-	6161	0.16	-	712606	18.01	3956522	IL
Indiana	14	934974	56.63	14	691570	41.89	-	19407	1.18	-	3856	0.23	-	1090	0.07	-	243404	14.74	1650897	IN
Iowa	11	621756	54.41	11	487977	42.70	-	29687	2.60	-	1373	0.12	-	1940	0.17	-	133779	11.71	1142733	IA
Kansas	9	464520	53.67	9	397727	45.95	-	497	0.06	-	2770	0.32	-	-	-	-	66793	7.72	865014	KS
Kentucky	11	541944	58.51	11	369702	39.92	-	12501	1.35	-	632	0.07	-	1424	0.15	-	172242	18.60	926203	KY
Louisiana	10	292894	88.82	10	36791	11.16	-	-	-	-	-	-	-	93	0.00	-	256103	77.66	329778	LA
Maine	5	126333	41.52	-	168823	55.49	5	7581	2.49	-	783	0.26	-	720	0.24	-	-42490	-13.97	304240	ME
Maryland	8	389612	62.35	8	231435	37.04	-	-	-	-	1629	0.26	-	2220	0.36	-	158177	25.31	624896	MD
