Alabama	10	117314	67.00	10	57177	32.66	-	594	0.34	-	-	-	-	-60137	-34.35	175085	AL
Arkansas	7	86062	54.80	7	59752	38.04	-	614	0.39	-	10630	6.77	-	-26310	-16.75	157058	AR
California	8	117729	46.84	-	124816	49.66	8	5761	2.29	-	-	-	-	7087	2.82	251339	CA
Colorado	3	37549	40.84	-	50772	55.22	3	2182	2.37	-	1266	1.38	-	13223	14.38	91946	CO
Connecticut	6	74920	48.66	6	74584	48.44	-	4234	2.75	-	240	0.16	-	-336	-0.22	153978	CT
Delaware	3	16414	55.15	3	12950	43.51	-	399	1.34	-	-	-	-	-3464	-11.64	29764	DE
Florida	4	39557	59.48	4	26529	39.89	-	414	0.62	-	-	-	-	-13028	-19.59	66500	FL
Georgia	12	100493	70.31	12	40499	28.33	-	1808	1.26	-	136	0.10	-	-59994	-41.97	142936	GA
Illinois	22	348351	46.58	-	370475	49.54	22	21703	2.90	-	7134	0.95	-	22124	2.96	747813	IL
Indiana	15	261013	48.61	-	263361	49.05	15	9881	1.84	-	2694	0.50	-	2348	0.44	536949	IN
Iowa	13	179877	44.51	-	211603	52.36	13	3550	0.88	-	9105	2.25	-	31726	7.85	404135	IA
Kansas	9	102745	31.03	-	182904	55.23	9	6779	2.05	-	37788	11.41	-	80159	24.21	331149	KS
Kentucky	13	183830	53.30	13	155138	44.98	-	5223	1.51	-	677	0.20	-	-28692	-8.32	344868	KY
Louisiana	8	85032	73.37	8	30660	26.46	-	160	0.14	-	39	0.03	-	-54372	-46.92	115891	LA
Maine	6	50472	39.35	-	73730	57.49	6	2691	2.10	-	1344	1.05	-	23258	18.13	128253	ME
Maryland	8	106188	50.34	8	99986	47.40	-	4767	2.26	-	-	-	-	-6202	-2.94	210941	MD
Massachusetts	14	151590	44.04	-	183892	53.42	14	8701	2.53	-	-	-	-	32302	9.38	344243	MA
Michigan	13	213469	44.91	-	236387	49.73	13	20945	4.41	-	4555	0.96	-	22918	4.82	475356	MI
Minnesota	7	104385	39.65	-	142492	54.12	7	15311	5.82	-	1097	0.42	-	38107	14.47	263285	MN
Mississippi	9	85451	73.80	9	30095	25.99	-	240	0.21	-	-	-	-	-55356	-47.81	115786	MS
Missouri	16	261943	50.24	16	236252	45.31	-	4539	0.87	-	18626	3.57	-	-25691	-4.93	521360	MO
Nebraska	5	80552	39.75	-	108425	53.51	5	9429	4.65	-	4226	2.09	-	27873	13.76	202632	NE
Nevada	3	5149	41.94	-	7088	57.73	3	41	0.33	-	-	-	-	1939	15.79	12278	NV
New_Hampshire	4	43456	47.84	-	45728	50.34	4	1593	1.75	-	-	-	-	2272	2.50	90835	NH
New_Jersey	9	151508	49.87	9	144360	47.52	-	7933	2.61	-	-	-	-	-7148	-2.35	303801	NJ
New_York	36	635965	48.19	-	650338	49.28	36	30231	2.29	-	627	0.05	-	14373	1.09	1319748	NY
North_Carolina	11	147902	51.79	11	134784	47.20	-	2840	0.99	-	-	-	-	-13118	-4.59	285563	NC
Ohio	23	396455	47.18	-	416054	49.51	23	24356	2.90	-	3496	0.42	-	19599	2.33	840361	OH
Oregon	3	26522	42.88	-	33291	53.82	3	1677	2.71	-	-	-	-	6769	10.94	61853	OR
Pennsylvania	30	446633	44.77	-	526091	52.74	30	20947	2.10	-	3873	0.39	-	79458	7.97	997568	PA
Rhode_Island	4	17530	42.99	-	21969	53.88	4	1251	3.07	-	18	0.04	-	4439	10.89	40775	RI
South_Carolina	9	65824	82.28	9	13736	17.17	-	-	-	-	-	-	-	-52088	-65.11	79997	SC
Tennessee	12	158699	52.26	12	138978	45.76	-	5969	1.97	-	48	0.02	-	-19721	-6.49	303694	TN
Texas	13	234883	65.70	13	88422	24.73	-	4749	1.33	-	29459	8.24	-	-146461	-40.97	357513	TX
Vermont	4	16788	25.65	-	45192	69.05	4	1460	2.23	-	1977	3.02	-	28404	43.40	65452	VT
Virginia	12	152004	49.99	12	150399	49.46	-	1684	0.55	-	-	-	-	-1605	-0.53	304087	VA
West_Virginia	6	78677	49.35	6	78171	49.03	-	1084	0.68	-	1508	0.95	-	-506	-0.32	159440	WV
Wisconsin	11	155232	43.77	-	176553	49.79	11	14277	4.03	-	8552	2.41	-	21321	6.01	354614	WI
TOTALS:	401	5538163	48.63	168	5443633	47.80	233	250017	2.20	-	149115	1.31	-	-94530	-0.83	11388846	US
