Alabama	11	318303	56.39	5	237981	42.16	–	324050	0.00	6	–	–	–	80322	14.23	564478	AL
Alaska	3	29809	49.06	–	30953	50.94	3	–	–	–	–	–	–	−1144	−1.88	60762	AK
Arizona	4	176781	44.36	–	221241	55.52	4	–	–	–	469	0.12	–	−44460	−11.16	398491	AZ
Arkansas	8	215049	50.19	8	184508	43.06	–	–	–	–	–	–	–	30541	7.13	428509	AR
California	32	3224099	49.55	–	3259722	50.10	32	–	–	–	1051	0.02	–	−35623	−0.55	6506578	CA
Colorado	6	330629	44.91	–	402242	54.63	6	–	–	–	2803	0.38	–	−71613	−9.73	736246	CO
Connecticut	8	657055	53.73	8	565813	46.27	–	–	–	–	–	–	–	91242	7.46	1222883	CT
Delaware	3	99590	50.63	3	96373	49.00	–	–	–	–	82	0.04	–	3217	1.64	196683	DE
Florida	10	748700	48.49	–	795476	51.51	10	–	–	–	–	–	–	−46776	−3.03	1544176	FL
Georgia	12	458638	62.54	12	274472	37.43	–	–	–	–	–	–	–	184166	25.11	733349	GA
Hawaii	3	92410	50.03	3	92295	49.97	–	–	–	–	–	–	–	115	0.06	184705	HI
Idaho	4	138853	46.22	–	161597	53.78	4	–	–	–	–	–	–	−22744	−7.57	300450	ID
Illinois	27	2377846	49.98	27	2368988	49.80	–	–	–	–	10560	0.22	–	8858	0.19	4757409	IL
Indiana	13	952358	44.60	–	1175120	55.03	13	–	–	–	1136	0.05	–	−222762	−10.43	2135360	IN
Iowa	10	550565	43.22	–	722381	56.71	10	–	–	–	230	0.02	–	−171816	−13.49	1273810	IA
Kansas	8	363213	39.10	–	561474	60.45	8	–	–	–	–	–	–	−198261	−21.35	928825	KS
Kentucky	10	521855	46.41	–	602607	53.59	10	–	–	–	–	–	–	−80752	−7.18	1124462	KY
Louisiana	10	407339	50.42	10	230980	28.59	–	169572	20.99	–	–	–	–	176359	21.83	807891	LA
Maine	5	181159	42.95	–	240608	57.05	5	–	–	–	–	–	–	−59449	−14.10	421767	ME
Maryland	9	565808	53.61	9	489538	46.39	–	–	–	–	–	–	–	76270	7.23	1055349	MD
Massachusetts	16	1487174	60.22	16	976750	39.55	–	–	–	–	3892	0.16	–	510424	20.67	2469480	MA
Michigan	20	1687269	50.85	20	1620428	48.84	–	539	0.02	–	1718	0.05	–	66841	2.01	3318097	MI
Minnesota	11	779933	50.58	11	757915	49.16	–	–	–	–	962	0.06	–	22018	1.43	1541887	MN
Mississippi	8	108362	36.34	–	73561	24.67	–	116248	38.99	8	–	–	–	−7886	−2.64	298171	MS
Missouri	13	972201	50.26	13	962221	49.74	–	–	–	–	–	–	–	9980	0.52	1934422	MO
Montana	4	134891	48.60	–	141841	51.10	4	–	–	–	–	–	–	−6950	−2.50	277579	MT
Nebraska	6	232542	37.93	–	380553	62.07	6	–	–	–	–	–	–	−148011	−24.14	613095	NE
Nevada	3	54880	51.16	3	52387	48.84	–	–	–	–	–	–	–	2493	2.32	107267	NV
New_Hampshire	4	137772	46.58	–	157989	53.42	4	–	–	–	–	–	–	−20217	−6.84	295761	NH
New_Jersey	16	1385415	49.96	16	1363324	49.16	–	–	–	–	4262	0.15	–	22091	0.80	2773111	NJ
New_Mexico	4	156027	50.15	4	153733	49.41	–	–	–	–	570	0.18	–	2294	0.74	311107	NM
New_York	45	3830085	52.53	45	3446419	47.27	–	–	–	–	–	–	–	383666	5.26	7291079	NY
North_Carolina	14	713136	52.11	14	655420	47.89	–	–	–	–	–	–	–	57716	4.22	1368556	NC
North_Dakota	4	123963	44.52	–	154310	55.42	4	–	–	–	–	–	–	−30347	−10.90	278431	ND
Ohio	25	1944248	46.72	–	2217611	53.28	25	–	–	–	–	–	–	−273363	−6.57	4161859	OH
Oklahoma	8	370111	40.98	–	533039	59.02	7	0	0.00	1	–	–	–	−162928	−18.04	903150	OK
Oregon	6	367402	47.32	–	408060	52.56	6	–	–	–	–	–	–	−40658	−5.24	776421	OR
Pennsylvania	32	2556282	51.06	32	2439956	48.74	–	–	–	–	7185	0.14	–	116326	2.32	5006541	PA
Rhode_Island	4	258032	63.63	4	147502	36.37	–	–	–	–	–	–	–	110530	27.26	405535	RI
South_Carolina	8	198129	51.24	8	188558	48.76	–	–	–	–	–	–	–	9571	2.48	386688	SC
South_Dakota	4	128070	41.79	–	178417	58.21	4	–	–	–	–	–	–	−50347	−16.43	306487	SD
Tennessee	11	481453	45.77	–	556577	52.92	11	–	–	–	–	–	–	−75124	−7.14	1051792	TN
Texas	24	1167567	50.52	24	1121310	48.52	–	–	–	–	–	–	–	46257	2.00	2311084	TX
Utah	4	169248	45.17	–	205361	54.81	4	–	–	–	–	–	–	−36113	−9.64	374709	UT
Vermont	3	69186	41.35	–	98131	58.65	3	–	–	–	–	–	–	−28945	−17.30	167324	VT
Virginia	12	362327	46.97	–	404521	52.44	12	–	–	–	397	0.05	–	−42194	−5.47	771449	VA
Washington	9	599298	48.27	–	629273	50.68	9	–	–	–	10895	0.88	–	−29975	−2.41	1241572	WA
West_Virginia	8	441786	52.73	8	395995	47.27	–	–	–	–	–	–	–	45791	5.47	837781	WV
Wisconsin	12	830805	48.05	–	895175	51.77	12	–	–	–	1310	0.08	–	−64370	−3.72	1729082	WI
Wyoming	3	63331	44.99	–	77451	55.01	3	–	–	–	–	–	–	−14120	−10.03	140782	WY
TOTALS:	537	34220984	49.72	303	34108157	49.55	219	610409	0.42	15	47522	0.07	–	112827	0.16	68832482	US
