County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,Margin_PCT,Margin_NUM
Northampton,80.96,5046,19.04,1187,61.91,3859
Hertford,79.91,3953,20.09,994,59.81,2959
Robeson,79.35,13796,20.65,3591,58.69,10205
Bertie,78.16,3332,21.84,931,56.32,2401
Martin,76.14,4821,23.86,1511,52.27,3310
Scotland,75.77,3844,24.23,1229,51.55,2615
Gates,75.38,1702,24.62,556,50.75,1146
Greene,75.06,2712,24.94,901,50.12,1811
Hoke,74.32,2254,25.68,779,48.63,1475
Jones,73.29,2129,26.71,776,46.57,1353
Richmond,73.17,8516,26.83,3123,46.34,5393
Tyrrell,72.70,996,27.30,374,45.40,622
Anson,70.66,4144,29.34,1721,41.31,2423
Pitt,68.73,11317,31.27,5149,37.46,6168
Hyde,68.68,1127,31.32,514,37.36,613
Person,68.68,4740,31.32,2162,37.35,2578
Washington,68.65,2505,31.35,1144,37.30,1361
Franklin,68.47,4554,31.53,2097,36.94,2457
Chowan,68.30,1696,31.70,787,36.61,909
Bladen,67.55,4516,32.45,2169,35.11,2347
Columbus,66.82,9004,33.18,4471,33.64,4533
Edgecombe,66.58,7834,33.42,3932,33.16,3902
Currituck,66.26,1455,33.74,741,32.51,714
Haywood,65.67,10664,34.33,5575,31.34,5089
Halifax,65.30,8952,34.70,4757,30.60,4195
Duplin,65.23,7169,34.77,3821,30.46,3348
Yancey,64.95,3714,35.05,2004,29.91,1710
Pamlico,64.30,1864,35.70,1035,28.60,829
Pasquotank,64.21,4269,35.79,2380,28.41,1889
Granville,63.66,4596,36.34,2624,27.31,1972
Lee,63.21,4730,36.79,2753,26.42,1977
Union,63.02,7208,36.98,4229,26.05,2979
Dare,63.00,1476,37.00,867,25.99,609
Beaufort,62.88,6090,37.12,3595,25.76,2495
Pender,62.04,3205,37.96,1961,24.08,1244
Buncombe,62.01,31623,37.99,19372,24.02,12251
Camden,61.97,870,38.03,534,23.93,336
Orange,61.41,9206,38.59,5785,22.82,3421
Craven,61.27,7422,38.73,4691,22.55,2731
Onslow,61.23,5955,38.77,3771,22.46,2184
Perquimans,60.78,1458,39.22,941,21.55,517
Jackson,60.65,4905,39.35,3183,21.29,1722
Cumberland,60.39,13864,39.61,9093,20.78,4771
McDowell,60.20,6314,39.80,4174,20.40,2140
Alleghany,60.09,2368,39.91,1573,20.17,795
Vance,60.04,5186,39.96,3452,20.07,1734
Durham,59.98,22874,40.02,15264,19.95,7610
Swain,59.93,2294,40.07,1534,19.85,760
Warren,59.88,2849,40.12,1909,19.76,940
Carteret,59.23,6231,40.77,4289,18.46,1942
Wilson,59.13,7238,40.87,5002,18.27,2236
Nash,58.89,9163,41.11,6396,17.78,2767
Wake,58.41,31653,41.59,22542,16.81,9111
Caswell,58.36,2513,41.64,1793,16.72,720
Cleveland,57.92,10836,42.08,7874,15.83,2962
Johnston,57.85,10326,42.15,7523,15.70,2803
Lenoir,57.56,7617,42.44,5617,15.11,2000
Rutherford,57.28,9541,42.72,7115,14.57,2426
Macon,56.55,3774,43.45,2900,13.10,874
Wayne,56.45,9791,43.55,7555,12.89,2236
Chatham,56.29,5295,43.71,4111,12.59,1184
Burke,55.97,12815,44.03,10081,11.94,2734
Harnett,55.97,7477,44.03,5883,11.93,1594
Cherokee,55.90,3823,44.10,3016,11.80,807
Transylvania,55.83,4483,44.17,3547,11.66,936
Rockingham,55.78,11432,44.22,9063,11.56,2369
Lincoln,55.45,7304,44.55,5869,10.89,1435
Graham,55.41,1737,44.59,1398,10.81,339
Caldwell,55.40,10846,44.60,8733,10.79,2113
Moore,55.29,6384,44.71,5162,10.58,1222
Surry,55.17,9810,44.83,7970,10.35,1840
Ashe,54.64,4965,45.36,4121,9.29,844
Gaston,54.11,20197,45.89,17129,8.22,3068
Montgomery,53.74,3933,46.26,3385,7.49,548
Madison,53.44,3829,46.56,3336,6.88,493
Brunswick,53.26,4240,46.74,3721,6.52,519
Clay,53.12,1457,46.88,1286,6.23,171
Guilford,52.87,39969,47.13,35635,5.73,4334
Polk,52.18,3017,47.82,2765,4.36,252
Mecklenburg,51.56,49582,48.44,46589,3.11,2993
Sampson,51.38,8067,48.62,7634,2.76,433
Stokes,51.22,4898,48.78,4664,2.45,234
Forsyth,51.08,31615,48.92,30276,2.16,1339
New_Hanover,50.90,12584,49.10,12140,1.80,444
Watauga,50.62,4031,49.38,3932,1.24,99
Alamance,50.36,15397,49.64,15177,0.72,220
Rowan,50.22,14934,49.78,14804,0.44,130
Alexander,49.75,3722,50.25,3760,-0.51,-38
Catawba,48.02,15814,51.98,17116,-3.95,-1302
Cabarrus,47.50,11921,52.50,13178,-5.01,-1257
Stanly,47.05,7931,52.95,8924,-5.89,-993
Iredell,46.56,11231,53.44,12892,-6.89,-1661
Wilkes,45.45,9176,54.55,11014,-9.10,-1838
Davidson,44.27,13735,55.73,17292,-11.46,-3557
Randolph,43.64,10638,56.36,13739,-12.72,-3101
Davie,40.90,3086,59.10,4460,-18.21,-1374
Henderson,40.86,6066,59.14,8780,-18.28,-2714
Yadkin,38.30,3638,61.70,5860,-23.39,-2222
Avery,36.44,1523,63.56,2656,-27.11,-1133
Mitchell,34.73,1736,65.27,3263,-30.55,-1527
