County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,Margin_PCT,Margin_NUM
Greene,94.12,2976,5.88,186,88.24,2790
Martin,92.98,5493,7.02,415,85.95,5078
Bertie,90.26,3557,9.74,384,80.51,3173
Northampton,88.14,4334,11.86,583,76.29,3751
Franklin,87.90,5376,12.10,740,75.80,4636
Pitt,83.65,11271,16.35,2203,67.30,9068
Jones,83.48,1673,16.52,331,66.97,1342
Hertford,83.16,2859,16.84,579,66.32,2280
Warren,81.68,2960,18.32,664,63.36,2296
Edgecombe,81.53,8504,18.47,1927,63.05,6577
Halifax,79.94,8807,20.06,2210,59.88,6597
Nash,79.82,10424,20.18,2636,59.63,7788
Granville,79.72,4583,20.28,1166,59.44,3417
Currituck,78.04,1471,21.96,414,56.07,1057
Gates,77.41,1247,22.59,364,54.81,883
Onslow,77.22,4275,22.78,1261,54.44,3014
Wilson,77.17,8684,22.83,2569,54.34,6115
Vance,76.80,5697,23.20,1721,53.60,3976
Person,75.64,4266,24.36,1374,51.28,2892
Duplin,75.14,6392,24.86,2115,50.28,4277
Lenoir,75.07,6723,24.93,2233,50.13,4490
Camden,74.55,996,25.45,340,49.10,656
Hoke,74.08,1761,25.92,616,48.17,1145
Chowan,72.95,1448,27.05,537,45.89,911
Caswell,72.75,2597,27.25,973,45.49,1624
Washington,71.83,1974,28.17,774,43.67,1200
Tyrrell,70.41,916,29.59,385,40.81,531
Columbus,69.81,6941,30.19,3001,39.63,3940
Hyde,69.36,919,30.64,406,38.72,513
Beaufort,69.31,5429,30.69,2404,38.62,3025
Robeson,69.29,9311,30.71,4127,38.58,5184
Anson,69.21,4143,30.79,1843,38.42,2300
Lee,69.01,4688,30.99,2105,38.02,2583
Richmond,68.59,7340,31.41,3361,37.18,3979
Craven,68.34,6092,31.66,2822,36.68,3270
Bladen,67.22,3506,32.78,1710,34.43,1796
Union,66.18,7416,33.82,3790,32.36,3626
Perquimans,65.91,1245,34.09,644,31.82,601
Johnston,64.81,9997,35.19,5429,29.61,4568
Scotland,64.68,2912,35.32,1590,29.36,1322
Rockingham,64.34,12423,35.66,6885,28.68,5538
Harnett,63.82,7595,36.18,4306,27.64,3289
Pender,63.78,2029,36.22,1152,27.57,877
Pasquotank,63.01,3579,36.99,2101,26.02,1478
Durham,62.58,18897,37.42,11301,25.15,7596
Pamlico,61.26,1428,38.74,903,22.52,525
Wayne,60.96,7281,39.04,4662,21.93,2619
Wake,60.84,23393,39.16,15057,21.68,8336
Carteret,59.06,4280,40.94,2967,18.12,1313
Haywood,58.86,8761,41.14,6124,17.72,2637
Orange,57.49,5156,42.51,3813,14.97,1343
Cleveland,56.07,9709,43.93,7606,12.15,2103
Yancey,55.57,3693,44.43,2953,11.13,740
Dare,55.56,959,44.44,767,11.12,192
Chatham,54.41,4303,45.59,3606,8.81,697
Stokes,54.29,4504,45.71,3792,8.58,712
Cumberland,54.18,8839,45.82,7474,8.37,1365
Alamance,54.06,13402,45.94,11388,8.12,2014
Jackson,53.86,4296,46.14,3680,7.72,616
Swain,53.71,1949,46.29,1680,7.41,269
Graham,53.54,1590,46.46,1380,7.07,210
New_Hanover,52.54,10330,47.46,9330,5.09,1000
Surry,51.95,8206,48.05,7591,3.89,615
Sampson,51.89,6956,48.11,6449,3.78,507
Polk,51.70,2741,48.30,2561,3.39,180
Cherokee,51.02,3363,48.98,3228,2.05,135
Macon,50.51,3396,49.49,3327,1.03,69
Alleghany,50.28,1809,49.72,1789,0.56,20
McDowell,50.24,4755,49.76,4710,0.48,45
Montgomery,49.96,3176,50.04,3181,-0.08,-5
Brunswick,49.94,2951,50.06,2958,-0.12,-7
Clay,49.93,1439,50.07,1443,-0.14,-4
Ashe,49.85,4536,50.15,4563,-0.30,-27
Moore,48.21,5066,51.79,5442,-3.58,-376
Gaston,48.14,17781,51.86,19157,-3.73,-1376
Forsyth,48.14,24535,51.86,26436,-3.73,-1901
Rutherford,48.04,7755,51.96,8387,-3.92,-632
Buncombe,47.85,22425,52.15,24444,-4.31,-2019
Transylvania,47.36,3641,52.64,4047,-5.28,-406
Guilford,46.57,29028,53.43,33310,-6.87,-4282
Lincoln,46.39,5389,53.61,6228,-7.22,-839
Caldwell,45.13,7533,54.87,9160,-9.75,-1627
Watauga,44.30,3600,55.70,4527,-11.41,-927
Madison,43.55,3666,56.45,4751,-12.89,-1085
Davidson,43.33,10931,56.67,14299,-13.35,-3368
Mecklenburg,42.70,33044,57.30,44334,-14.59,-11290
Alexander,42.56,2665,57.44,3597,-14.88,-932
Iredell,42.09,8580,57.91,11804,-15.82,-3224
Randolph,41.93,8975,58.07,12429,-16.14,-3454
Stanly,41.64,7202,58.36,10093,-16.72,-2891
Burke,41.03,7732,58.97,11113,-17.94,-3381
Catawba,40.73,11554,59.27,16814,-18.54,-5260
Rowan,39.18,11296,60.82,17535,-21.64,-6239
Wilkes,38.43,7143,61.57,11446,-23.15,-4303
Cabarrus,37.78,9140,62.22,15053,-24.44,-5913
Davie,37.50,2406,62.50,4010,-25.00,-1604
Yadkin,33.46,2786,66.54,5540,-33.08,-2754
Henderson,30.25,3803,69.75,8768,-39.50,-4965
Mitchell,23.57,1236,76.43,4009,-52.87,-2773
Avery,20.56,964,79.44,3725,-58.88,-2761
