County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,Margin_PCT,Margin_NUM
Edgecombe,99.29,3343,0.71,24,98.57,3319
Northampton,93.32,2305,6.68,165,86.64,2140
Currituck,92.08,1000,7.92,86,84.16,914
Bertie,89.67,1840,10.33,212,79.34,1628
Hoke,88.41,1266,11.59,166,76.82,1100
Anson,88.00,3175,12.00,433,76.00,2742
Halifax,86.74,3429,13.26,524,73.49,2905
Warren,86.34,1865,13.66,295,72.69,1570
New_Hanover,85.21,4102,14.79,712,70.42,3390
Scotland,84.78,1705,15.22,306,69.57,1399
Chowan,83.92,1091,16.08,209,67.85,882
Hertford,83.32,1104,16.68,221,66.64,883
Pitt,82.92,4196,17.08,864,65.85,3332
Martin,82.85,2561,17.15,530,65.71,2031
Craven,82.36,3413,17.64,731,64.72,2682
Franklin,82.32,2742,17.68,589,64.64,2153
Camden,79.18,540,20.82,142,58.36,398
Greene,78.98,1649,21.02,439,57.95,1210
Pasquotank,77.40,1736,22.60,507,54.79,1229
Mecklenburg,76.78,11313,23.22,3421,53.56,7892
Granville,75.89,2622,24.11,833,51.78,1789
Vance,75.10,2461,24.90,816,50.20,1645
Richmond,74.83,3341,25.17,1124,49.65,2217
Union,74.80,4168,25.20,1404,49.61,2764
Robeson,73.58,6183,26.42,2220,47.16,3963
Nash,72.15,4031,27.85,1556,44.30,2475
Wilson,71.79,3496,28.21,1374,43.57,2122
Jones,71.46,964,28.54,385,42.92,579
Caswell,71.04,1239,28.96,505,42.09,734
Gates,70.88,796,29.12,327,41.76,469
Pender,69.33,1580,30.67,699,38.66,881
Lenoir,68.95,2560,31.05,1153,37.89,1407
Wake,68.71,8020,31.29,3653,37.41,4367
Perquimans,68.15,1042,31.85,487,36.30,555
Hyde,68.15,1134,31.85,530,36.30,604
Lee,67.06,2327,32.94,1143,34.12,1184
Onslow,64.61,1557,35.39,853,29.21,704
Bladen,64.57,1939,35.43,1064,29.14,875
Cleveland,63.70,5181,36.30,2953,27.39,2228
Columbus,63.57,3111,36.43,1783,27.14,1328
Wayne,62.95,4794,37.05,2822,25.89,1972
Cumberland,62.11,3233,37.89,1972,24.23,1261
Beaufort,60.85,3522,39.15,2266,21.70,1256
Iredell,59.51,6470,40.49,4402,19.02,2068
Haywood,58.50,4229,41.50,3000,17.00,1229
Tyrrell,57.44,718,42.56,532,14.88,186
Rowan,56.78,6421,43.22,4888,13.56,1533
Durham,56.69,4646,43.31,3550,13.37,1096
Dare,56.62,825,43.38,632,13.25,193
Pamlico,56.06,1286,43.94,1008,12.12,278
Rutherford,55.96,5101,44.04,4015,11.91,1086
Buncombe,55.91,10167,44.09,8017,11.82,2150
Duplin,55.75,3398,44.25,2697,11.50,701
Rockingham,55.56,4507,44.44,3605,11.12,902
Gaston,55.19,7148,44.81,5803,10.39,1345
Guilford,54.83,9615,45.17,7920,9.67,1695
Forsyth,54.46,8123,45.54,6792,8.92,1331
Harnett,54.20,3919,45.80,3311,8.41,608
Moore,54.03,2679,45.97,2279,8.07,400
Alleghany,53.98,1409,46.02,1201,7.97,208
Washington,53.47,1116,46.53,971,6.95,145
Orange,53.43,1993,46.57,1737,6.86,256
Alamance,53.22,5255,46.78,4619,6.44,636
McDowell,52.31,2809,47.69,2561,4.62,248
Chatham,52.30,3186,47.70,2906,4.60,280
Johnston,51.90,6030,48.10,5588,3.80,442
Macon,51.50,2177,48.50,2050,3.00,127
Lincoln,51.50,3331,48.50,3137,3.00,194
Person,51.25,1646,48.75,1566,2.49,80
Polk,50.65,1361,49.35,1326,1.30,35
Jackson,50.32,2385,49.68,2355,0.63,30
Montgomery,50.18,2321,49.82,2304,0.37,17
Brunswick,47.92,1253,52.08,1362,-4.17,-109
Transylvania,47.86,1542,52.14,1680,-4.28,-138
Catawba,47.66,5404,52.34,5935,-4.68,-531
Burke,47.59,3262,52.41,3592,-4.81,-330
Ashe,47.40,3431,52.60,3808,-5.21,-377
Carteret,47.21,2070,52.79,2315,-5.59,-245
Stanly,47.12,3843,52.88,4312,-5.75,-469
Caldwell,47.05,2931,52.95,3298,-5.89,-367
Yancey,46.76,2280,53.24,2596,-6.48,-316
Cabarrus,46.18,4418,53.82,5148,-7.63,-730
Clay,45.32,755,54.68,911,-9.36,-156
Randolph,44.80,5110,55.20,6297,-10.41,-1187
Davidson,44.59,4797,55.41,5960,-10.81,-1163
Alexander,43.62,2045,56.38,2643,-12.76,-598
Henderson,42.79,2496,57.21,3337,-14.42,-841
Graham,41.31,644,58.69,915,-17.38,-271
Cherokee,41.27,1761,58.73,2506,-17.46,-745
Surry,40.69,3547,59.31,5170,-18.62,-1623
Stokes,40.59,1999,59.41,2926,-18.82,-927
Watauga,39.55,1721,60.45,2631,-20.91,-910
Swain,39.04,1434,60.96,2239,-21.92,-805
Davie,38.53,1624,61.47,2591,-22.94,-967
Sampson,31.19,2426,68.81,5353,-37.63,-2927
Wilkes,30.59,2843,69.41,6451,-38.82,-3608
Yadkin,29.03,1350,70.97,3301,-41.95,-1951
Madison,27.04,1340,72.96,3616,-45.92,-2276
Mitchell,24.46,697,75.54,2153,-51.09,-1456
Avery,13.69,397,86.31,2503,-72.62,-2106
