County,GOP_PCT,GOP_NUM,DEM_PCT,DEM_NUM,LIB_PCT,LIB_NUM,OTH_PCT,OTH_NUM,Total_NUM
Surry,75.16,27538,23.80,8721,0.64,235,0.39,144,36638
Swain,58.87,4161,39.33,2780,1.02,72,0.78,55,7068
Transylvania,57.03,11636,41.38,8444,0.88,180,0.70,144,20404
Tyrrell,57.46,1044,41.72,758,0.44,8,0.39,7,1817
Union,61.36,80382,37.19,48725,0.87,1136,0.59,768,131011
Vance,39.96,8391,59.20,12431,0.45,94,0.40,83,20999
Wake,35.80,226197,62.25,393336,1.19,7514,0.76,4783,631830
Warren,36.45,3752,62.18,6400,0.61,63,0.76,78,10293
Washington,44.82,2781,54.73,3396,0.27,17,0.18,11,6205
Watauga,44.85,14451,53.14,17122,1.20,386,0.81,261,32220
Wayne,55.29,30709,43.60,24215,0.68,378,0.42,235,55537
Wilkes,77.80,27592,21.18,7511,0.60,214,0.42,149,35466
Wilson,48.07,19581,50.95,20754,0.60,245,0.38,155,40735
Yadkin,80.00,15933,18.89,3763,0.66,131,0.45,96,19923
Yancey,66.21,7516,32.49,3688,0.72,82,0.58,66,11352
