County,GOP_PCT,GOP_NUM,DEM_PCT,DEM_NUM,LIB_PCT,LIB_NUM,OTH_PCT,OTH_NUM,Margin_PCT,Margin_NUM
Forsyth,61.53,59208,38.26,36814,0.18,174,0.02,24,23.27,22394
Guilford,61.25,73096,38.57,46027,0.16,186,0.03,31,22.68,27069
Harnett,61.11,11198,38.78,7106,0.08,15,0.02,4,22.33,4092
Lenoir,60.79,13321,39.04,8556,0.12,27,0.05,10,21.74,4765
Beaufort,60.66,9284,39.12,5987,0.18,27,0.05,7,21.54,3297
Wilson,59.31,12243,40.42,8343,0.19,40,0.08,17,18.89,3900
Brunswick,58.89,9763,40.86,6774,0.21,35,0.04,6,18.03,2989
Pitt,58.36,18983,41.45,13481,0.15,48,0.04,14,16.92,5502
Cumberland,58.18,31602,41.63,22614,0.16,89,0.03,14,16.55,8988
Perquimans,57.28,1939,42.57,1441,0.12,4,0.03,1,14.71,498
Montgomery,57.07,5109,42.79,3831,0.07,6,0.07,6,14.28,1278
Alleghany,56.08,2589,43.60,2013,0.28,13,0.04,2,12.48,576
Jackson,55.97,5582,43.78,4367,0.22,22,0.03,3,12.18,1215
Haywood,55.94,10146,43.88,7958,0.13,24,0.05,9,12.06,2188
Franklin,55.57,5984,44.26,4766,0.09,10,0.07,8,11.31,1218
Chowan,55.41,2171,44.31,1736,0.23,9,0.05,2,11.10,435
Madison,54.81,3666,44.67,2988,0.15,10,0.37,25,10.14,678
Granville,54.42,6302,45.05,5217,0.50,58,0.03,3,9.37,1085
Pasquotank,54.58,4646,45.27,3854,0.07,6,0.08,7,9.30,792
Camden,54.25,1282,45.49,1075,0.21,5,0.04,1,8.76,207
Hyde,54.27,1195,45.59,1004,0.14,3,0.00,0,8.67,191
Pamlico,54.14,2554,45.62,2152,0.17,8,0.06,3,8.52,402
Yancey,53.96,4296,45.86,3651,0.11,9,0.06,5,8.10,645
Sampson,53.87,10665,46.04,9115,0.07,13,0.02,3,7.83,1550
Pender,53.73,5079,46.06,4354,0.17,16,0.04,4,7.67,725
Vance,53.68,6836,46.18,5880,0.12,15,0.02,3,7.51,956
Greene,53.47,3195,46.39,2772,0.13,8,0.00,0,7.08,423
Chatham,53.39,8595,46.33,7458,0.24,39,0.04,7,7.06,1137
Duplin,52.96,7708,46.93,6830,0.09,13,0.03,4,6.03,878
Martin,52.32,4266,47.47,3870,0.15,12,0.06,5,4.86,396
Columbus,51.11,9150,48.75,8728,0.11,20,0.03,6,2.36,422
Jones,50.30,2062,49.40,2025,0.20,8,0.10,4,0.90,37
Scotland,50.23,4077,49.62,4028,0.14,11,0.01,1,0.60,49
Swain,50.02,2012,49.73,2000,0.22,9,0.02,1,0.30,12
Caswell,48.84,3992,50.86,4157,0.23,19,0.07,6,-2.02,-165
Tyrrell,48.89,774,50.98,807,0.06,1,0.06,1,-2.08,-33
Halifax,48.65,8832,51.11,9278,0.17,30,0.07,13,-2.46,-446
Bladen,48.07,4701,51.78,5064,0.12,12,0.02,2,-3.71,-363
Edgecombe,47.66,9635,52.16,10545,0.12,24,0.06,12,-4.50,-910
Richmond,47.50,6807,52.30,7494,0.18,26,0.02,3,-4.79,-687
Durham,47.39,29185,52.36,32244,0.22,134,0.03,21,-4.97,-3059
Washington,46.67,2731,53.21,3114,0.12,7,0.00,0,-6.54,-383
Robeson,45.76,12947,53.93,15257,0.20,56,0.11,31,-8.17,-2310
Hoke,43.14,2449,56.61,3214,0.19,11,0.05,3,-13.48,-765
Gates,43.10,1694,56.62,2225,0.18,7,0.10,4,-13.51,-531
Orange,42.96,15585,56.69,20564,0.30,108,0.06,20,-13.72,-4979
Anson,42.45,3719,57.25,5015,0.13,11,0.17,15,-14.79,-1296
Bertie,41.91,2879,57.54,3953,0.42,29,0.13,9,-15.63,-1074
Hertford,41.27,3176,58.45,4498,0.21,16,0.06,5,-17.18,-1322
Warren,40.25,2664,59.63,3946,0.05,3,0.08,5,-19.37,-1282
Northampton,38.39,3198,61.15,5094,0.29,24,0.17,14,-22.76,-1896
