County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,OTH_PCT,OTH_NUM,Total_NUM
Robeson,58.18,24988,40.77,17510,01.04,448,42946
Rockingham,38.91,16351,60.04,25227,01.05,442,42020
Rowan,36.35,22650,62.23,38775,01.42,887,62312
Rutherford,32.66,9374,66.04,18954,01.30,374,28702
Sampson,44.19,11566,55.10,14422,00.71,186,26174
Scotland,58.03,8215,41.19,5831,00.78,110,14156
Stanly,29.36,8431,69.31,19904,01.33,382,28717
Stokes,27.84,6018,70.48,15237,01.68,364,21619
Surry,30.92,9112,67.60,19923,01.48,435,29470
Swain,45.71,2618,51.96,2976,02.34,134,5728
Transylvania,40.72,6826,57.47,9634,01.81,303,16763
Tyrrell,46.94,837,52.16,930,00.90,16,1783
Union,34.28,32473,64.51,61107,01.21,1148,94728
Vance,63.89,13323,35.62,7429,00.49,102,20854
Wake,54.94,267262,43.50,211596,01.56,7569,486427
Warren,68.67,6978,30.90,3140,00.43,44,10162
Washington,58.98,3833,40.34,2622,00.68,44,6499
Watauga,46.98,13002,50.09,13861,02.93,811,27674
Wayne,45.40,23314,53.83,27641,00.77,397,51352
Wilkes,27.96,8148,70.39,20515,01.65,482,29145
Wilson,53.38,20875,45.91,17954,00.72,280,39109
Yadkin,23.54,3957,74.81,12578,01.65,278,16813
Yancey,42.12,3981,55.85,5278,02.03,192,9451
