County,GOP_PCT,GOP_NUM,DEM_PCT,DEM_NUM,OTH_PCT,OTH_NUM,Total_NUM
Anderson,70.7,11525,28.7,4678,0.6,98,16301
Andrews,84.6,3837,14.9,677,0.5,22,4536
Angelina,66.7,18932,32.8,9302,0.5,130,28364
Aransas,70.9,6569,28.5,2640,0.6,59,9268
Archer,79.9,3556,19.7,878,0.4,17,4451
Armstrong,82.7,830,16.9,170,0.4,4,1004
Atascosa,63.0,7635,36.5,4421,0.5,60,12116
Austin,75.4,8072,24.1,2582,0.4,48,10702
Bailey,78.0,1882,21.8,525,0.2,5,2412
Bandera,79.3,6933,19.9,1738,0.8,70,8741
Bastrop,56.7,13290,41.8,9794,1.5,357,23441
Baylor,71.3,1169,28.5,467,0.2,4,1640
Bee,57.0,5428,42.5,4045,0.5,45,9518
Bell,65.4,52135,34.1,27165,0.5,424,79724
Bexar,54.8,260698,44.4,210976,0.8,3640,475314
Blanco,71.5,3277,27.6,1267,0.9,40,4584
Borden,84.4,303,15.3,55,0.3,1,359
Bosque,75.6,5737,23.9,1815,0.4,34,7586
Bowie,64.5,21791,35.2,11880,0.3,89,33760
Brazoria,68.3,63662,31.0,28904,0.7,682,93248
Brazos,69.2,37594,29.7,16128,1.1,587,54309
Brewster,52.7,1980,46.0,1729,1.4,51,3760
Briscoe,76.4,620,23.6,191,0.0,0,811
Brooks,31.6,845,68.2,1823,0.2,6,2674
Brown,81.7,11640,17.7,2523,0.6,90,14253
Burleson,65.5,4405,33.9,2276,0.6,40,6721
