County,GOP_NUM,GOP_PCT,DEM_NUM,DEM_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,5826,72.24,2233,27.69,6,0.07,3593,44.55,8065
Andrews,2615,79.00,677,20.45,18,0.54,1938,58.55,3310
Angelina,11453,69.04,4970,29.96,166,1.00,6483,39.08,16589
Aransas,2037,70.48,844,29.20,9,0.31,1193,41.28,2890
Archer,1494,69.42,632,29.37,26,1.21,862,40.06,2152
Armstrong,768,80.76,177,18.61,6,0.63,591,62.15,951
Atascosa,3400,65.28,1804,34.64,4,0.08,1596,30.65,5208
Austin,3084,74.24,1043,25.11,27,0.65,2041,49.13,4154
Bailey,1837,79.70,465,20.17,3,0.13,1372,59.52,2305
Bandera,1796,79.50,434,19.21,29,1.28,1362,60.29,2259
Bastrop,3097,61.82,1906,38.04,7,0.14,1191,23.77,5010
Baylor,1190,66.52,598,33.43,1,0.06,592,33.09,1789
Bee,3779,64.42,2067,35.24,20,0.34,1712,29.19,5866
Bell,17525,71.79,6848,28.05,38,0.16,10677,43.74,24411
Bexar,137572,59.76,91662,39.82,959,0.42,45910,19.94,230193
Blanco,1215,71.68,460,27.14,20,1.18,755,44.54,1695
Borden,330,76.21,96,22.17,7,1.62,234,54.04,433
Bosque,2947,74.12,1014,25.50,15,0.38,1933,48.62,3976
Bowie,14722,73.55,5227,26.12,66,0.33,9495,47.44,20015
Brazoria,21045,64.89,11350,35.00,37,0.11,9695,29.89,32432
Brazos,14243,71.03,5692,28.39,116,0.58,8551,42.65,20051
Brewster,1524,62.31,904,36.96,18,0.74,620,25.35,2446
Briscoe,642,64.20,349,34.90,9,0.90,293,29.30,1000
Brooks,1117,40.17,1657,59.58,7,0.25,-540,-19.42,2781
Brown,5990,72.76,2171,26.37,72,0.87,3819,46.39,8233
Burleson,1762,56.38,1361,43.55,2,0.06,401,12.83,3125
Burnet,3438,73.34,1227,26.17,23,0.49,2211,47.16,4688
Caldwell,3171,61.45,1974,38.26,15,0.29,1197,23.20,5160
Calhoun,3614,64.93,1936,34.78,16,0.29,1678,30.15,5566
Callahan,2223,75.64,665,22.63,51,1.74,1558,53.01,2939
Cameron,20816,60.69,13340,38.89,144,0.42,7476,21.80,34300
Camp,1599,60.55,1041,39.42,1,0.04,558,21.13,2641
Carson,1868,75.75,561,22.75,37,1.50,1307,53.00,2466
Cass,5303,72.76,1981,27.18,4,0.05,3322,45.58,7288
Castro,1685,68.75,751,30.64,15,0.61,934,38.11,2451
Chambers,2390,66.35,1206,33.48,6,0.17,1184,32.87,3602
Cherokee,5743,69.29,2467,29.77,78,0.94,3276,39.53,8288
Childress,1716,69.81,729,29.66,13,0.53,987,40.15,2458
Clay,1893,64.28,1023,34.74,29,0.98,870,29.54,2945
Cochran,1106,72.01,415,27.02,15,0.98,691,44.99,1536
Coke,761,67.11,358,31.57,15,1.32,403,35.54,1134
Coleman,2386,76.67,721,23.17,5,0.16,1665,53.50,3112
Collin,17667,78.04,4783,21.13,187,0.83,12884,56.92,22637
Collingsworth,1250,71.39,501,28.61,0,0.00,749,42.78,1751
Colorado,3495,69.66,1502,29.94,20,0.40,1993,39.72,5017
Comal,6761,78.36,1823,21.13,44,0.51,4938,57.23,8628
Comanche,2608,68.31,1176,30.80,34,0.89,1432,37.51,3818
Concho,709,66.95,350,33.05,0,0.00,359,33.90,1059
Cooke,6317,78.28,1702,21.09,51,0.63,4615,57.19,8070
Coryell,5077,79.75,1235,19.40,54,0.85,3842,60.35,6366
Cottle,564,49.69,571,50.31,0,0.00,-7,-0.62,1135
Crane,1123,73.78,349,22.93,50,3.29,774,50.85,1522
Crockett,851,72.12,329,27.88,0,0.00,522,44.24,1180
Crosby,1503,59.15,1021,40.18,17,0.67,482,18.97,2541
Culberson,555,69.12,238,29.64,10,1.25,317,39.48,803
Dallam,1271,78.02,327,20.07,31,1.90,944,57.95,1629
Dallas,305112,69.53,129662,29.55,4021,0.92,175450,39.98,438795
Dawson,3247,79.29,846,20.66,2,0.05,2401,58.63,4095
Deaf_Smith,3690,73.67,1240,24.76,79,1.58,2450,48.91,5009
Delta,957,61.90,581,37.58,8,0.52,376,24.32,1546
Denton,19138,66.18,9720,33.61,62,0.21,9418,32.57,28920
Dewitt,3755,72.96,1357,26.36,35,0.68,2398,46.59,5147
Dickens,708,56.87,534,42.89,3,0.24,174,13.98,1245
Dimmit,1172,51.81,1078,47.66,12,0.53,94,4.16,2262
Donley,1229,77.74,350,22.14,2,0.13,879,55.60,1581
Duval,623,14.32,3729,85.68,0,0.00,-3106,-71.37,4352
Eastland,4106,71.50,1630,28.38,7,0.12,2476,43.11,5743
Ector,21386,79.32,5449,20.21,125,0.46,15937,59.11,26960
Edwards,520,82.02,109,17.19,5,0.79,411,64.83,634
Ellis,8779,69.53,3839,30.41,8,0.06,4940,39.13,12626
El_Paso,49981,60.15,32435,39.04,674,0.81,17546,21.12,83090
Erath,4777,74.26,1648,25.62,8,0.12,3129,48.64,6433
Falls,3017,62.12,1825,37.57,15,0.31,1192,24.54,4857
Fannin,3826,61.90,2295,37.13,60,0.97,1531,24.77,6181
Fayette,3882,73.37,1400,26.46,9,0.17,2482,46.91,5291
Fisher,1207,56.22,933,43.46,7,0.33,274,12.76,2147
Floyd,2181,72.17,841,27.83,0,0.00,1340,44.34,3022
Foard,369,53.87,312,45.55,4,0.58,57,8.32,685
Fort_Bend,10475,69.42,4541,30.09,73,0.48,5934,39.33,15089
Franklin,1059,65.90,546,33.98,2,0.12,513,31.92,1607
Freestone,2459,65.61,1283,34.23,6,0.16,1176,31.38,3748
Frio,1904,54.23,1588,45.23,19,0.54,316,9.00,3511
Gaines,1923,73.26,669,25.49,33,1.26,1254,47.77,2625
Galveston,30936,57.49,22565,41.93,310,0.58,8371,15.56,53811
Garza,1153,72.11,446,27.89,0,0.00,707,44.22,1599
Gillespie,3490,85.67,526,12.91,58,1.42,2964,72.75,4074
Glasscock,288,78.05,75,20.33,6,1.63,213,57.72,369
Goliad,1018,68.60,464,31.27,2,0.13,554,37.33,1484
Gonzales,2707,69.84,1164,30.03,5,0.13,1543,39.81,3876
Gray,7968,84.37,1367,14.47,109,1.15,6601,69.90,9444
Grayson,16769,70.65,6952,29.29,13,0.05,9817,41.36,23734
Gregg,19927,77.49,5325,20.71,464,1.80,14602,56.78,25716
Grimes,2243,66.44,1116,33.06,17,0.50,1127,33.38,3376
Guadalupe,8287,70.84,3404,29.10,7,0.06,4883,41.74,11698
Hale,7051,76.04,2135,23.02,87,0.94,4916,53.01,9273
Hall,1303,67.37,607,31.39,24,1.24,696,35.99,1934
Hamilton,1931,73.79,685,26.18,1,0.04,1246,47.61,2617
Hansford,1947,88.90,202,9.22,41,1.87,1745,79.68,2190
Hardeman,1357,68.29,614,30.90,16,0.81,743,37.39,1987
Hardin,5190,63.63,2952,36.19,15,0.18,2238,27.44,8157
Harris,365672,62.56,215916,36.94,2943,0.50,149756,25.62,584531
Harrison,9600,68.28,4333,30.82,127,0.90,5267,37.46,14060
Hartley,946,80.17,206,17.46,28,2.37,740,62.71,1180
Haskell,1744,64.74,950,35.26,0,0.00,794,29.47,2694
Hays,5406,56.79,4068,42.74,45,0.47,1338,14.06,9519
Hemphill,942,81.42,214,18.50,1,0.09,728,62.92,1157
Henderson,6263,69.49,2741,30.41,9,0.10,3522,39.08,9013
Hidalgo,22920,55.23,18366,44.26,213,0.51,4554,10.97,41499
Hill,4481,70.25,1882,29.50,16,0.25,2599,40.74,6379
Hockley,4084,70.84,1625,28.19,56,0.97,2459,42.65,5765
Hood,1743,64.32,949,35.02,18,0.66,794,29.30,2710
Hopkins,3903,69.20,1710,30.32,27,0.48,2193,38.88,5640
Houston,3317,63.95,1844,35.55,26,0.50,1473,28.40,5187
Howard,7343,72.85,2714,26.92,23,0.23,4629,45.92,10080
Hudspeth,467,64.24,250,34.39,10,1.38,217,29.85,727
Hunt,9535,72.02,3655,27.61,49,0.37,5880,44.41,13239
Hutchinson,7411,81.25,1405,15.40,305,3.34,6006,65.85,9121
Irion,363,76.10,111,23.27,3,0.63,252,52.83,477
Jack,1719,68.57,775,30.91,13,0.52,944,37.65,2507
Jackson,2743,69.81,1163,29.60,23,0.59,1580,40.21,3929
Jasper,4575,62.46,2746,37.49,4,0.05,1829,24.97,7325
Jeff_Davis,382,64.20,202,33.95,11,1.85,180,30.25,595
Jefferson,45819,60.42,29909,39.44,109,0.14,15910,20.98,75837
Jim_Hogg,765,47.28,848,52.41,5,0.31,-83,-5.13,1618
Jim_Wells,5283,54.48,4404,45.41,11,0.11,879,9.06,9698
Johnson,10042,71.04,3968,28.07,126,0.89,6074,42.97,14136
Jones,3202,75.11,1050,24.63,11,0.26,2152,50.48,4263
Karnes,2639,59.60,1780,40.20,9,0.20,859,19.40,4428
Kaufman,5100,64.51,2795,35.35,11,0.14,2305,29.16,7906
Kendall,2681,84.23,484,15.21,18,0.57,2197,69.02,3183
Kenedy,124,58.22,88,41.31,1,0.47,36,16.90,213
Kent,465,67.59,223,32.41,0,0.00,242,35.17,688
Kerr,6039,77.82,1511,19.47,210,2.71,4528,58.35,7760
Kimble,971,78.12,266,21.40,6,0.48,705,56.72,1243
King,143,65.30,75,34.25,1,0.46,68,31.05,219
Kinney,425,64.39,234,35.45,1,0.15,191,28.94,660
Kleberg,5312,54.19,4481,45.71,10,0.10,831,8.48,9803
Knox,1148,63.78,638,35.44,14,0.78,510,28.33,1800
Lamar,7736,72.62,2865,26.90,51,0.48,4871,45.73,10652
Lamb,3981,74.19,1350,25.16,35,0.65,2631,49.03,5366
Lampasas,2251,76.33,688,23.33,10,0.34,1563,53.00,2949
La_Salle,1073,65.11,567,34.41,8,0.49,506,30.70,1648
Lavaca,3288,69.65,1429,30.27,4,0.08,1859,39.38,4721
Lee,1877,66.70,920,32.69,17,0.60,957,34.01,2814
Leon,1699,66.16,863,33.61,6,0.23,836,32.55,2568
Liberty,6111,64.79,3311,35.10,10,0.11,2800,29.69,9432
Limestone,2949,66.67,1452,32.83,22,0.50,1497,33.85,4423
Lipscomb,1226,87.57,156,11.14,18,1.29,1070,76.43,1400
Live_Oak,1745,73.97,610,25.86,4,0.17,1135,48.11,2359
Llano,2164,73.53,766,26.03,13,0.44,1398,47.50,2943
Loving,55,88.71,7,11.29,0,0.00,48,77.42,62
Lubbock,43564,73.47,15353,25.89,379,0.64,28211,47.58,59296
Lynn,1766,71.47,697,28.21,8,0.32,1069,43.26,2471
McCulloch,1769,70.06,753,29.82,3,0.12,1016,40.24,2525
McLennan,33377,67.45,15947,32.23,161,0.33,17430,35.22,49485
McMullen,304,76.77,88,22.22,4,1.01,216,54.55,396
Madison,1540,73.30,561,26.70,0,0.00,979,46.60,2101
Marion,1680,60.22,1106,39.64,4,0.14,574,20.57,2790
Martin,935,75.22,287,23.09,21,1.69,648,52.13,1243
